year,CTYNAME,month,type,amount
1985,OPEC,1,1,1733
1986,OPEC,1,1,2631
1987,OPEC,1,1,1344
1988,OPEC,1,1,1869
1989,OPEC,1,1,2241.4
1990,OPEC,1,1,3662.1
1991,OPEC,1,1,3239.1
1992,OPEC,1,1,2596
1993,OPEC,1,1,2733
1994,OPEC,1,1,2085.8
1995,OPEC,1,1,2720.4
1996,OPEC,1,1,3280
1997,OPEC,1,1,3877.1
1998,OPEC,1,1,3252.2
1999,OPEC,1,1,2542.5
2000,OPEC,1,1,4381.8
2001,OPEC,1,1,5793.1
2002,OPEC,1,1,3733.2
2003,OPEC,1,1,4827.229934
2004,OPEC,1,1,5949.285059
2005,OPEC,1,1,8149.278487
2006,OPEC,1,1,11492.36574
2007,OPEC,1,1,11588.60337
2008,OPEC,1,1,20302.1
2009,OPEC,1,1,7982.701834
2010,OPEC,1,1,10966.44522
2011,OPEC,1,1,14357.52669
2012,OPEC,1,1,15766.91878
2013,OPEC,1,1,14317.77425
1997,European Union,1,1,11644.9
1998,European Union,1,1,12883.4
1999,European Union,1,1,13700.7
2000,European Union,1,1,15771.3
2001,European Union,1,1,19413.6
2002,European Union,1,1,16444.7
2003,European Union,1,1,18656
2004,European Union,1,1,19117.095
2005,European Union,1,1,21997.6
2006,European Union,1,1,24878.4
2007,European Union,1,1,26094.34069
2008,European Union,1,1,27757.79818
2009,European Union,1,1,21187.93074
2010,European Union,1,1,21293.22372
2011,European Union,1,1,26134.26621
2012,European Union,1,1,29590.71084
2013,European Union,1,1,28883.82457
1989,World, Seasonally Adjusted,1,1,37513.2
1990,World, Seasonally Adjusted,1,1,41380.4
1991,World, Seasonally Adjusted,1,1,41282.2
1992,World, Seasonally Adjusted,1,1,41809.5
1993,World, Seasonally Adjusted,1,1,45495
1994,World, Seasonally Adjusted,1,1,50027
1995,World, Seasonally Adjusted,1,1,60492
1996,World, Seasonally Adjusted,1,1,63825
1997,World, Seasonally Adjusted,1,1,69846
1998,World, Seasonally Adjusted,1,1,74523
1999,World, Seasonally Adjusted,1,1,77781
2000,World, Seasonally Adjusted,1,1,93900
2001,World, Seasonally Adjusted,1,1,105470
2002,World, Seasonally Adjusted,1,1,89443
2003,World, Seasonally Adjusted,1,1,102284
2004,World, Seasonally Adjusted,1,1,110890
2005,World, Seasonally Adjusted,1,1,132065
2006,World, Seasonally Adjusted,1,1,152919
2007,World, Seasonally Adjusted,1,1,156000
2008,World, Seasonally Adjusted,1,1,175412
2009,World, Seasonally Adjusted,1,1,129116
2010,World, Seasonally Adjusted,1,1,146808
2011,World, Seasonally Adjusted,1,1,178767
2012,World, Seasonally Adjusted,1,1,191923
2013,World, Seasonally Adjusted,1,1,189945
1994,NAFTA with Mexico (Consump),1,1,1725.6
1995,NAFTA with Mexico (Consump),1,1,3236
1996,NAFTA with Mexico (Consump),1,1,4101
1997,NAFTA with Mexico (Consump),1,1,4587
1998,NAFTA with Mexico (Consump),1,1,4904.4
1999,NAFTA with Mexico (Consump),1,1,4771.2
2000,NAFTA with Mexico (Consump),1,1,5887.2
2001,NAFTA with Mexico (Consump),1,1,6374.8
2002,NAFTA with Mexico (Consump),1,1,6164.5
2003,NAFTA with Mexico (Consump),1,1,6838.6
2004,NAFTA with Mexico (Consump),1,1,7074.8
2005,NAFTA with Mexico (Consump),1,1,7268.6
2006,NAFTA with Mexico (Consump),1,1,9678.8
2007,NAFTA with Mexico (Consump),1,1,9158.1
2008,NAFTA with Mexico (Consump),1,1,10878.6
2009,NAFTA with Mexico (Consump),1,1,7599.395994
2010,NAFTA with Mexico (Consump),1,1,9661.3
2011,NAFTA with Mexico (Consump),1,1,12292.4
2012,NAFTA with Mexico (Consump),1,1,12563.9
2013,NAFTA with Mexico (Consump),1,1,12260.6061
1994,NAFTA with Canada (Consump),1,1,3446.3
1995,NAFTA with Canada (Consump),1,1,4753.2
1996,NAFTA with Canada (Consump),1,1,6425
1997,NAFTA with Canada (Consump),1,1,7068.2
1998,NAFTA with Canada (Consump),1,1,8194.2
1999,NAFTA with Canada (Consump),1,1,8154
2000,NAFTA with Canada (Consump),1,1,9788.2
2001,NAFTA with Canada (Consump),1,1,9516.2
2002,NAFTA with Canada (Consump),1,1,8450.4
2003,NAFTA with Canada (Consump),1,1,8469.6
2004,NAFTA with Canada (Consump),1,1,9177.7
2005,NAFTA with Canada (Consump),1,1,10550.7
2006,NAFTA with Canada (Consump),1,1,13009
2007,NAFTA with Canada (Consump),1,1,12228.5
2008,NAFTA with Canada (Consump),1,1,13001.4
2009,NAFTA with Canada (Consump),1,1,7381.364276
2010,NAFTA with Canada (Consump),1,1,10885.2
2011,NAFTA with Canada (Consump),1,1,12813.7
2012,NAFTA with Canada (Consump),1,1,14379
2013,NAFTA with Canada (Consump),1,1,14713.00967
1989,Advance Technology Products,1,1,3704.2
1990,Advance Technology Products,1,1,4574.6
1991,Advance Technology Products,1,1,4487.6
1992,Advance Technology Products,1,1,4908.7
1993,Advance Technology Products,1,1,5503.2
1994,Advance Technology Products,1,1,6635.3
1995,Advance Technology Products,1,1,8443
1996,Advance Technology Products,1,1,10633
1997,Advance Technology Products,1,1,10494
1998,Advance Technology Products,1,1,11413
1999,Advance Technology Products,1,1,12147
2000,Advance Technology Products,1,1,14673
2001,Advance Technology Products,1,1,17671
2002,Advance Technology Products,1,1,14780
2003,Advance Technology Products,1,1,15409
2004,Advance Technology Products,1,1,16751
2005,Advance Technology Products,1,1,18953
2006,Advance Technology Products,1,1,21652
2007,Advance Technology Products,1,1,25367
2008,Advance Technology Products,1,1,25706
2009,Advance Technology Products,1,1,20735.15593
2010,Advance Technology Products,1,1,24377.30332
2011,Advance Technology Products,1,1,28321.22578
2012,Advance Technology Products,1,1,29356.27639
2013,Advance Technology Products,1,1,31152.66718
1985,N1CS,1,1,3221.6
1986,N1CS,1,1,3567
1987,N1CS,1,1,3960
1988,N1CS,1,1,4977.5
1989,N1CS,1,1,4978.3
1990,N1CS,1,1,5429.9
1991,N1CS,1,1,4966.7
1992,N1CS,1,1,5077.5
1993,N1CS,1,1,4975.1
1994,N1CS,1,1,5534.1
1995,N1CS,1,1,6551.9
1996,N1CS,1,1,7298
1997,N1CS,1,1,6795.3
1998,N1CS,1,1,7158.3
1999,N1CS,1,1,6937.6
2000,N1CS,1,1,8374.7
2001,N1CS,1,1,9064.2
2002,N1CS,1,1,7275.4
2003,N1CS,1,1,7820.95784
2004,N1CS,1,1,7932.936533
2005,N1CS,1,1,9074.297044
2006,N1CS,1,1,9135.491363
2007,N1CS,1,1,9544.10564
2008,N1CS,1,1,9410.434498
2009,N1CS,1,1,7550.445784
2010,N1CS,1,1,7293.354467
2011,N1CS,1,1,9400.627132
2012,N1CS,1,1,9331.381489
2013,N1CS,1,1,10275.2212
1985,South and Central America,1,1,2608.1
1986,South and Central America,1,1,2499.9
1987,South and Central America,1,1,1664
1988,South and Central America,1,1,2208.1
1989,South and Central America,1,1,2320.1
1990,South and Central America,1,1,2809.9
1991,South and Central America,1,1,2894
1992,South and Central America,1,1,2447.9
1993,South and Central America,1,1,2600.7
1994,South and Central America,1,1,2641.3
1995,South and Central America,1,1,3262.7
1996,South and Central America,1,1,3733.5
1997,South and Central America,1,1,4317.7
1998,South and Central America,1,1,4049.1
1999,South and Central America,1,1,3883
2000,South and Central America,1,1,5425.6
2001,South and Central America,1,1,6476.1
2002,South and Central America,1,1,4844.9
2003,South and Central America,1,1,5193.472035
2004,South and Central America,1,1,6830.513628
2005,South and Central America,1,1,9201.908356
2006,South and Central America,1,1,11041.65094
2007,South and Central America,1,1,10163.19463
2008,South and Central America,1,1,13158.56423
2009,South and Central America,1,1,8288.522949
2010,South and Central America,1,1,9733.335334
2011,South and Central America,1,1,13130.38873
2012,South and Central America,1,1,14266.60073
2013,South and Central America,1,1,14067.07207
1985,North America,1,1,6622.4
1986,North America,1,1,7181.8
1987,North America,1,1,6585.8
1988,North America,1,1,7715.8
1989,North America,1,1,9428.3
1990,North America,1,1,9179.3
1991,North America,1,1,9696.4
1992,North America,1,1,9663.2
1993,North America,1,1,10705.9
1994,North America,1,1,12108.8
1995,North America,1,1,16228.2
1996,North America,1,1,17818.5
1997,North America,1,1,19873.3
1998,North America,1,1,20234.1
1999,North America,1,1,21992.9
2000,North America,1,1,27161.6
2001,North America,1,1,31147.9
2002,North America,1,1,26316.9
2003,North America,1,1,28565.70698
2004,North America,1,1,30126.45035
2005,North America,1,1,33913.37277
2006,North America,1,1,41193.7668
2007,North America,1,1,40488.21578
2008,North America,1,1,44413.56963
2009,North America,1,1,30017.8681
2010,North America,1,1,37743.23764
2011,North America,1,1,44399.68025
2012,North America,1,1,48283.0014
2013,North America,1,1,49513.24818
1997,Europe,1,1,13209.27806
1998,Europe,1,1,14572.69577
1999,Europe,1,1,15110.80894
2000,Europe,1,1,17895.28012
2001,Europe,1,1,22021.41503
2002,Europe,1,1,18092.75739
2003,Europe,1,1,20950.92511
2004,Europe,1,1,21374.72387
2005,Europe,1,1,25344.95632
2006,Europe,1,1,28733.79785
2007,Europe,1,1,29619.22131
2008,Europe,1,1,32571.86487
2009,Europe,1,1,24700.74003
2010,Europe,1,1,25937.43613
2011,Europe,1,1,32046.23071
2012,Europe,1,1,35583.66894
2013,Europe,1,1,34655.73072
1997,Africa,1,1,1899.271479
1998,Africa,1,1,1574.099372
1999,Africa,1,1,1213.60983
2000,Africa,1,1,1593.489217
2001,Africa,1,1,2360.67478
2002,Africa,1,1,1579.748507
2003,Africa,1,1,2476.765496
2004,Africa,1,1,2671.838956
2005,Africa,1,1,4167.790844
2006,Africa,1,1,6025.331248
2007,Africa,1,1,6770.653073
2008,Africa,1,1,10095.71563
2009,Africa,1,1,4027.251708
2010,Africa,1,1,6631.588553
2011,Africa,1,1,8273.871645
2012,Africa,1,1,6331.776507
2013,Africa,1,1,5096.102015
1992,Pacific Rim,1,1,16380.8
1993,Pacific Rim,1,1,16744.8
1994,Pacific Rim,1,1,19186.9
1995,Pacific Rim,1,1,22094.1
1996,Pacific Rim,1,1,23163.4
1997,Pacific Rim,1,1,24326.1
1998,Pacific Rim,1,1,25768.9
1999,Pacific Rim,1,1,25623.1
2000,Pacific Rim,1,1,29768.9
2001,Pacific Rim,1,1,33463.2
2002,Pacific Rim,1,1,28562.1
2003,Pacific Rim,1,1,32757.78515
2004,Pacific Rim,1,1,35776.94632
2005,Pacific Rim,1,1,41914.03038
2006,Pacific Rim,1,1,47223.67278
2007,Pacific Rim,1,1,52540.61124
2008,Pacific Rim,1,1,53431.53439
2009,Pacific Rim,1,1,45112.48099
2010,Pacific Rim,1,1,45501.93024
2011,Pacific Rim,1,1,55890.66292
2012,Pacific Rim,1,1,60910.05874
2013,Pacific Rim,1,1,64336.37923
1987,World, Not Seasonally Adjusted,1,1,30798.5
1988,World, Not Seasonally Adjusted,1,1,33035.4
1989,World, Not Seasonally Adjusted,1,1,36179.3
1990,World, Not Seasonally Adjusted,1,1,40303.8
1991,World, Not Seasonally Adjusted,1,1,40243.7
1992,World, Not Seasonally Adjusted,1,1,39984.9
1993,World, Not Seasonally Adjusted,1,1,42057.7
1994,World, Not Seasonally Adjusted,1,1,46514.1
1995,World, Not Seasonally Adjusted,1,1,57292.9
1996,World, Not Seasonally Adjusted,1,1,61909.4
1997,World, Not Seasonally Adjusted,1,1,67271.9
1998,World, Not Seasonally Adjusted,1,1,70223.9
1999,World, Not Seasonally Adjusted,1,1,71766.3
2000,World, Not Seasonally Adjusted,1,1,87187.8
2001,World, Not Seasonally Adjusted,1,1,101869.1
2002,World, Not Seasonally Adjusted,1,1,85111.7
2003,World, Not Seasonally Adjusted,1,1,97490.98131
2004,World, Not Seasonally Adjusted,1,1,103993
2005,World, Not Seasonally Adjusted,1,1,122900
2006,World, Not Seasonally Adjusted,1,1,144562
2007,World, Not Seasonally Adjusted,1,1,150833
2008,World, Not Seasonally Adjusted,1,1,168350.2004
2009,World, Not Seasonally Adjusted,1,1,122414.5562
2010,World, Not Seasonally Adjusted,1,1,136725.3725
2011,World, Not Seasonally Adjusted,1,1,167048.1432
2012,World, Not Seasonally Adjusted,1,1,183522.0782
2013,World, Not Seasonally Adjusted,1,1,185187.1224
1985,Asia,1,1,11335.7
1986,Asia,1,1,13084.3
1987,Asia,1,1,11958
1988,Asia,1,1,14174.6
1989,Asia,1,1,14748.8
1990,Asia,1,1,16728.5
1991,Asia,1,1,17159.8
1992,Asia,1,1,18306.8
1993,Asia,1,1,18967.1
1994,Asia,1,1,21338.6
1995,Asia,1,1,24751.5
1996,Asia,1,1,26094.8
1997,Asia,1,1,27483.9
1998,Asia,1,1,29281.3
1999,Asia,1,1,29016.8
2000,Asia,1,1,34432
2001,Asia,1,1,39102.2
2002,Asia,1,1,33569.83129
2003,Asia,1,1,39551.07488
2004,Asia,1,1,42139.08334
2005,Asia,1,1,49459.1133
2006,Asia,1,1,56604.02998
2007,Asia,1,1,62788.4165
2008,Asia,1,1,66923.22417
2009,Asia,1,1,54326.82733
2010,Asia,1,1,55834.0049
2011,Asia,1,1,68272.98555
2012,Asia,1,1,78021.31024
2013,Asia,1,1,80652.47172
2005,CAFTA-DR,1,1,1177.693003
2006,CAFTA-DR,1,1,1241.88131
2007,CAFTA-DR,1,1,1267.730351
2008,CAFTA-DR,1,1,1369.994212
2009,CAFTA-DR,1,1,1037.935761
2010,CAFTA-DR,1,1,1466.280101
2011,CAFTA-DR,1,1,1817.31164
2012,CAFTA-DR,1,1,2186.050934
2013,CAFTA-DR,1,1,2086.951066
1985,Australia and Oceania,1,1,348.2
1986,Australia and Oceania,1,1,310
1987,Australia and Oceania,1,1,314.7
1988,Australia and Oceania,1,1,452.7
1989,Australia and Oceania,1,1,418
1990,Australia and Oceania,1,1,417.5
1991,Australia and Oceania,1,1,470.7
1992,Australia and Oceania,1,1,475.5
1993,Australia and Oceania,1,1,434.7
1994,Australia and Oceania,1,1,426.7
1995,Australia and Oceania,1,1,423.4
1996,Australia and Oceania,1,1,389.7
1997,Australia and Oceania,1,1,488.2
1998,Australia and Oceania,1,1,512.6
1999,Australia and Oceania,1,1,548.1
2000,Australia and Oceania,1,1,678.8
2001,Australia and Oceania,1,1,757.2
2002,Australia and Oceania,1,1,704.9
2003,Australia and Oceania,1,1,750.088933
2004,Australia and Oceania,1,1,849.183518
2005,Australia and Oceania,1,1,812.108943
2006,Australia and Oceania,1,1,961.481547
2007,Australia and Oceania,1,1,1002.635885
2008,Australia and Oceania,1,1,1186.526873
2009,Australia and Oceania,1,1,1053.214555
2010,Australia and Oceania,1,1,845.445604
2011,Australia and Oceania,1,1,923.93676
2012,Australia and Oceania,1,1,1035.451979
2013,Australia and Oceania,1,1,1163.813138
1985,Sub Saharan Africa,1,1,529
1986,Sub Saharan Africa,1,1,834.3
1987,Sub Saharan Africa,1,1,396.1
1988,Sub Saharan Africa,1,1,595.1
1989,Sub Saharan Africa,1,1,686.4
1990,Sub Saharan Africa,1,1,1155.5
1991,Sub Saharan Africa,1,1,921.6
1992,Sub Saharan Africa,1,1,825.3
1993,Sub Saharan Africa,1,1,1013.3
1994,Sub Saharan Africa,1,1,770.6
1995,Sub Saharan Africa,1,1,972.2
1996,Sub Saharan Africa,1,1,1251.4
1997,Sub Saharan Africa,1,1,1553.8
1998,Sub Saharan Africa,1,1,1309.9
1999,Sub Saharan Africa,1,1,1025.8
2000,Sub Saharan Africa,1,1,1309
2001,Sub Saharan Africa,1,1,1961.7
2002,Sub Saharan Africa,1,1,1316.6
2003,Sub Saharan Africa,1,1,1991.728402
2004,Sub Saharan Africa,1,1,2182.989717
2005,Sub Saharan Africa,1,1,3410.613155
2006,Sub Saharan Africa,1,1,4759.316168
2007,Sub Saharan Africa,1,1,4987.846896
2008,Sub Saharan Africa,1,1,7679.778042
2009,Sub Saharan Africa,1,1,2905.395979
2010,Sub Saharan Africa,1,1,4882.2
2011,Sub Saharan Africa,1,1,6289.1
2012,Sub Saharan Africa,1,1,5084.5
2013,Sub Saharan Africa,1,1,3877.141909
1992,Greenland,1,1,0.5
1993,Greenland,1,1,1.3
1994,Greenland,1,1,1.6
1995,Greenland,1,1,1.1
1996,Greenland,1,1,0.8
1997,Greenland,1,1,0.4
1998,Greenland,1,1,0.3
1999,Greenland,1,1,0.3
2000,Greenland,1,1,1
2001,Greenland,1,1,3.4
2002,Greenland,1,1,1.8
2003,Greenland,1,1,2.486787
2004,Greenland,1,1,0.814792
2005,Greenland,1,1,0.415288
2006,Greenland,1,1,1.509937
2007,Greenland,1,1,0.712608
2008,Greenland,1,1,0.672744
2009,Greenland,1,1,0.13153
2010,Greenland,1,1,0.32436
2011,Greenland,1,1,0.954153
2012,Greenland,1,1,0.268403
2013,Greenland,1,1,0.001799
1985,Canada,1,1,5319.1
1986,Canada,1,1,5680.7
1987,Canada,1,1,5429.9
1988,Canada,1,1,5973.5
1989,Canada,1,1,7411.2
1990,Canada,1,1,6799
1991,Canada,1,1,7220.2
1992,Canada,1,1,7169.6
1993,Canada,1,1,7909.8
1994,Canada,1,1,8612.6
1995,Canada,1,1,11506.1
1996,Canada,1,1,12211.4
1997,Canada,1,1,13686.1
1998,Canada,1,1,13228.5
1999,Canada,1,1,14550.1
2000,Canada,1,1,17578.5
2001,Canada,1,1,20441.9
2002,Canada,1,1,16335.1
2003,Canada,1,1,17735.23511
2004,Canada,1,1,18925.75297
2005,Canada,1,1,21839.49523
2006,Canada,1,1,25965.86806
2007,Canada,1,1,25114.80099
2008,Canada,1,1,27359.07973
2009,Canada,1,1,17552.98778
2010,Canada,1,1,21653.83633
2011,Canada,1,1,24793.26918
2012,Canada,1,1,26779.07516
2013,Canada,1,1,27963.36622
1992,St Pierre and Miquelon,1,1,0.3
1993,St Pierre and Miquelon,1,1,0
1994,St Pierre and Miquelon,1,1,0.1
1995,St Pierre and Miquelon,1,1,0.4
1996,St Pierre and Miquelon,1,1,0
1997,St Pierre and Miquelon,1,1,0
1998,St Pierre and Miquelon,1,1,0
1999,St Pierre and Miquelon,1,1,0.5
2000,St Pierre and Miquelon,1,1,0.1
2001,St Pierre and Miquelon,1,1,0.3
2002,St Pierre and Miquelon,1,1,0.6
2003,St Pierre and Miquelon,1,1,0.461093
2004,St Pierre and Miquelon,1,1,0.010451
2005,St Pierre and Miquelon,1,1,0.047388
2006,St Pierre and Miquelon,1,1,0.066493
2007,St Pierre and Miquelon,1,1,0
2008,St Pierre and Miquelon,1,1,0.062267
2009,St Pierre and Miquelon,1,1,0
2010,St Pierre and Miquelon,1,1,0
2011,St Pierre and Miquelon,1,1,0.095409
2012,St Pierre and Miquelon,1,1,0
2013,St Pierre and Miquelon,1,1,0
1985,Mexico,1,1,1303.3
1986,Mexico,1,1,1501.1
1987,Mexico,1,1,1155.9
1988,Mexico,1,1,1742.3
1989,Mexico,1,1,2017.1
1990,Mexico,1,1,2380.3
1991,Mexico,1,1,2476.2
1992,Mexico,1,1,2493.6
1993,Mexico,1,1,2796.1
1994,Mexico,1,1,3496.2
1995,Mexico,1,1,4722.1
1996,Mexico,1,1,5607.1
1997,Mexico,1,1,6187.2
1998,Mexico,1,1,7005.6
1999,Mexico,1,1,7442.8
2000,Mexico,1,1,9583.1
2001,Mexico,1,1,10706
2002,Mexico,1,1,9981.9
2003,Mexico,1,1,10830.47187
2004,Mexico,1,1,11200.69738
2005,Mexico,1,1,12073.87754
2006,Mexico,1,1,15227.89873
2007,Mexico,1,1,15373.41478
2008,Mexico,1,1,17054.4899
2009,Mexico,1,1,12464.88032
2010,Mexico,1,1,16089.40131
2011,Mexico,1,1,19606.41106
2012,Mexico,1,1,21503.92623
2013,Mexico,1,1,21549.88196
1985,Guatemala,1,1,32.7
1986,Guatemala,1,1,83.3
1987,Guatemala,1,1,42.8
1988,Guatemala,1,1,34.6
1989,Guatemala,1,1,44
1990,Guatemala,1,1,83.9
1991,Guatemala,1,1,97.6
1992,Guatemala,1,1,86.4
1993,Guatemala,1,1,104.6
1994,Guatemala,1,1,81.6
1995,Guatemala,1,1,119.5
1996,Guatemala,1,1,122.1
1997,Guatemala,1,1,146.4
1998,Guatemala,1,1,165.4
1999,Guatemala,1,1,163.1
2000,Guatemala,1,1,197.4
2001,Guatemala,1,1,228.7
2002,Guatemala,1,1,216.5
2003,Guatemala,1,1,246.888788
2004,Guatemala,1,1,217.039948
2005,Guatemala,1,1,244.009334
2006,Guatemala,1,1,215.074969
2007,Guatemala,1,1,230.14491
2008,Guatemala,1,1,297.650765
2009,Guatemala,1,1,196.601285
2010,Guatemala,1,1,243.207646
2011,Guatemala,1,1,320.689493
2012,Guatemala,1,1,376.323569
2013,Guatemala,1,1,314.766155
1992,Belize,1,1,3.5
1993,Belize,1,1,3.8
1994,Belize,1,1,2
1995,Belize,1,1,6
1996,Belize,1,1,3
1997,Belize,1,1,7.2
1998,Belize,1,1,7.9
1999,Belize,1,1,4.4
2000,Belize,1,1,4.5
2001,Belize,1,1,4.1
2002,Belize,1,1,4.3
2003,Belize,1,1,5.352117
2004,Belize,1,1,5.554294
2005,Belize,1,1,5.172393
2006,Belize,1,1,4.656801
2007,Belize,1,1,5.830802
2008,Belize,1,1,10.606312
2009,Belize,1,1,6.573171
2010,Belize,1,1,2.170355
2011,Belize,1,1,8.66908
2012,Belize,1,1,13.922079
2013,Belize,1,1,11.068201
1985,El Salvador,1,1,35.2
1986,El Salvador,1,1,37.7
1987,El Salvador,1,1,12.7
1988,El Salvador,1,1,18.7
1989,El Salvador,1,1,27.2
1990,El Salvador,1,1,15.1
1991,El Salvador,1,1,28.4
1992,El Salvador,1,1,32.4
1993,El Salvador,1,1,30.3
1994,El Salvador,1,1,38
1995,El Salvador,1,1,55.2
1996,El Salvador,1,1,65.4
1997,El Salvador,1,1,92.4
1998,El Salvador,1,1,99.4
1999,El Salvador,1,1,97.5
2000,El Salvador,1,1,124.1
2001,El Salvador,1,1,121.4
2002,El Salvador,1,1,146.1
2003,El Salvador,1,1,148.363986
2004,El Salvador,1,1,138.917541
2005,El Salvador,1,1,133.892204
2006,El Salvador,1,1,122.112822
2007,El Salvador,1,1,153.409581
2008,El Salvador,1,1,144.237521
2009,El Salvador,1,1,131.049501
2010,El Salvador,1,1,126.299696
2011,El Salvador,1,1,166.256579
2012,El Salvador,1,1,196.402966
2013,El Salvador,1,1,177.71097
1985,Honduras,1,1,36.7
1986,Honduras,1,1,36.7
1987,Honduras,1,1,30.1
1988,Honduras,1,1,34.6
1989,Honduras,1,1,36.1
1990,Honduras,1,1,44.1
1991,Honduras,1,1,39.7
1992,Honduras,1,1,48.2
1993,Honduras,1,1,54
1994,Honduras,1,1,64.5
1995,Honduras,1,1,87.3
1996,Honduras,1,1,105.1
1997,Honduras,1,1,133.7
1998,Honduras,1,1,163.7
1999,Honduras,1,1,154.7
2000,Honduras,1,1,178.3
2001,Honduras,1,1,206.7
2002,Honduras,1,1,194.6
2003,Honduras,1,1,215.308085
2004,Honduras,1,1,211.741161
2005,Honduras,1,1,246.823508
2006,Honduras,1,1,255.995349
2007,Honduras,1,1,254.361797
2008,Honduras,1,1,249.705314
2009,Honduras,1,1,201.281788
2010,Honduras,1,1,221.322956
2011,Honduras,1,1,275.046045
2012,Honduras,1,1,266.655009
2013,Honduras,1,1,281.938163
1992,Nicaragua,1,1,3.1
1993,Nicaragua,1,1,5.5
1994,Nicaragua,1,1,9.8
1995,Nicaragua,1,1,19.6
1996,Nicaragua,1,1,22.6
1997,Nicaragua,1,1,26
1998,Nicaragua,1,1,33.2
1999,Nicaragua,1,1,36
2000,Nicaragua,1,1,39
2001,Nicaragua,1,1,51.9
2002,Nicaragua,1,1,49.8
2003,Nicaragua,1,1,60.251651
2004,Nicaragua,1,1,61.760641
2005,Nicaragua,1,1,89.291456
2006,Nicaragua,1,1,109.8432
2007,Nicaragua,1,1,117.447542
2008,Nicaragua,1,1,128.221001
2009,Nicaragua,1,1,97.234162
2010,Nicaragua,1,1,112.031938
2011,Nicaragua,1,1,155.9975
2012,Nicaragua,1,1,200.465989
2013,Nicaragua,1,1,199.870013
1985,Costa Rica,1,1,39.6
1986,Costa Rica,1,1,62.5
1987,Costa Rica,1,1,47.6
1988,Costa Rica,1,1,46.1
1989,Costa Rica,1,1,60.6
1990,Costa Rica,1,1,79.2
1991,Costa Rica,1,1,80
1992,Costa Rica,1,1,85.3
1993,Costa Rica,1,1,90.4
1994,Costa Rica,1,1,101.5
1995,Costa Rica,1,1,122.2
1996,Costa Rica,1,1,138.3
1997,Costa Rica,1,1,152
1998,Costa Rica,1,1,166.7
1999,Costa Rica,1,1,254.6
2000,Costa Rica,1,1,259.1
2001,Costa Rica,1,1,205.5
2002,Costa Rica,1,1,188.1
2003,Costa Rica,1,1,253.733186
2004,Costa Rica,1,1,213.829058
2005,Costa Rica,1,1,228.242767
2006,Costa Rica,1,1,265.07986
2007,Costa Rica,1,1,269.552957
2008,Costa Rica,1,1,303.470146
2009,Costa Rica,1,1,225.779387
2010,Costa Rica,1,1,580.116379
2011,Costa Rica,1,1,676.170679
2012,Costa Rica,1,1,878.619196
2013,Costa Rica,1,1,836.393347
1985,Panama,1,1,27.6
1986,Panama,1,1,33
1987,Panama,1,1,22.1
1988,Panama,1,1,30.7
1989,Panama,1,1,21
1990,Panama,1,1,19.2
1991,Panama,1,1,19
1992,Panama,1,1,14.3
1993,Panama,1,1,14.6
1994,Panama,1,1,20.2
1995,Panama,1,1,17.3
1996,Panama,1,1,25.2
1997,Panama,1,1,23.2
1998,Panama,1,1,21.6
1999,Panama,1,1,31.6
2000,Panama,1,1,31.6
2001,Panama,1,1,25.8
2002,Panama,1,1,21.3
2003,Panama,1,1,22.795295
2004,Panama,1,1,37.7729
2005,Panama,1,1,20.329772
2006,Panama,1,1,20.511786
2007,Panama,1,1,23.71759
2008,Panama,1,1,52.414548
2009,Panama,1,1,15.930658
2010,Panama,1,1,52.584933
2011,Panama,1,1,21.498568
2012,Panama,1,1,28.41265
2013,Panama,1,1,30.312099
1992,Bermuda,1,1,0.4
1993,Bermuda,1,1,0.3
1994,Bermuda,1,1,0.3
1995,Bermuda,1,1,1.2
1996,Bermuda,1,1,0.9
1997,Bermuda,1,1,0.2
1998,Bermuda,1,1,0.4
1999,Bermuda,1,1,1.5
2000,Bermuda,1,1,4.8
2001,Bermuda,1,1,0.8
2002,Bermuda,1,1,0.7
2003,Bermuda,1,1,0.84752
2004,Bermuda,1,1,0.780348
2005,Bermuda,1,1,2.351757
2006,Bermuda,1,1,0.822483
2007,Bermuda,1,1,1.979411
2008,Bermuda,1,1,0.996801
2009,Bermuda,1,1,0.385724
2010,Bermuda,1,1,8.832869
2011,Bermuda,1,1,0.310173
2012,Bermuda,1,1,0.8361
2013,Bermuda,1,1,1.105168
1985,Bahamas,1,1,154.4
1986,Bahamas,1,1,71.7
1987,Bahamas,1,1,26.3
1988,Bahamas,1,1,46.7
1989,Bahamas,1,1,51.3
1990,Bahamas,1,1,63.4
1991,Bahamas,1,1,37
1992,Bahamas,1,1,30.2
1993,Bahamas,1,1,10.4
1994,Bahamas,1,1,15
1995,Bahamas,1,1,14.1
1996,Bahamas,1,1,13.6
1997,Bahamas,1,1,14.4
1998,Bahamas,1,1,14.5
1999,Bahamas,1,1,19.5
2000,Bahamas,1,1,18
2001,Bahamas,1,1,24.6
2002,Bahamas,1,1,33.6
2003,Bahamas,1,1,34.292117
2004,Bahamas,1,1,44.358419
2005,Bahamas,1,1,51.985918
2006,Bahamas,1,1,41.590853
2007,Bahamas,1,1,64.744124
2008,Bahamas,1,1,65.976349
2009,Bahamas,1,1,46.370915
2010,Bahamas,1,1,48.254702
2011,Bahamas,1,1,61.580856
2012,Bahamas,1,1,29.862408
2013,Bahamas,1,1,86.541345
1992,Cuba,1,1,0
1993,Cuba,1,1,0
